timestep,robot_id,px,py
1,khiv0,-1.21607,-1.2803,-3.13976
1,khiv1,0.315322,-0.23318,-0.701553
1,khiv10,0.396751,1.5067,2.16595
1,khiv11,-0.56373,0.895973,-0.766716
1,khiv12,0.497778,-1.95794,-1.00321
1,khiv13,1.31057,0.375595,-2.184
1,khiv14,-1.64112,-1.37116,2.10797
1,khiv15,-0.403828,0.824813,0.0584685
1,khiv16,-1.97158,-0.0262398,-2.1611
1,khiv17,-0.59505,1.98521,-0.322292
1,khiv18,-1.69583,-1.63655,-0.353499
1,khiv19,-0.596276,-0.017543,-2.30167
1,khiv2,0.546095,-0.0902769,-0.991295
1,khiv20,-1.60422,-0.630877,2.51696
1,khiv21,0.87938,-0.837633,1.23402
1,khiv22,1.83895,-1.83828,-0.524855
1,khiv23,-0.340825,-1.60132,-0.85378
1,khiv24,-1.51573,-1.92466,-1.70681
1,khiv25,-1.89423,-1.84135,1.81692
1,khiv26,-0.841517,-0.384315,0.22377
1,khiv27,0.137965,0.273835,2.49093
1,khiv28,-0.290667,-0.5398,0.610795
1,khiv29,1.538,1.59983,0.270962
1,khiv3,0.957183,1.99473,3.07867
1,khiv4,-0.577747,-1.79904,-1.66894
1,khiv5,0.271773,-0.795434,1.00648
1,khiv6,-1.59639,0.468445,2.95383
1,khiv7,-1.71541,0.719769,-2.45297
1,khiv8,-0.159927,0.0324736,1.73617
1,khiv9,-0.0645516,0.660015,-2.27533
2,khiv0,-1.22044,-1.28031,3.07511
2,khiv1,0.318664,-0.236004,-0.769864
2,khiv10,0.394298,1.51032,2.09764
2,khiv11,-0.560579,0.892938,-0.835027
2,khiv12,0.50013,-1.96163,-1.07152
2,khiv13,1.30805,0.372017,-2.25231
2,khiv14,-1.64336,-1.3674,2.03966
2,khiv15,-0.39946,0.825069,-0.00984267
2,khiv16,-1.97402,-0.0298744,-2.22941
2,khiv17,-0.5909,1.98382,-0.390604
2,khiv18,-1.69173,-1.63806,-0.42181
2,khiv19,-0.599196,-0.0208006,-2.36998
2,khiv2,0.548491,-0.0939376,-1.05961
2,khiv20,-1.60777,-0.628318,2.44865
2,khiv21,0.88109,-0.832749,1.28525
2,khiv22,1.84274,-1.84047,-0.593167
2,khiv23,-0.33795,-1.60462,-0.922091
2,khiv24,-1.51632,-1.92899,-1.77512
2,khiv25,-1.8953,-1.83711,1.74861
2,khiv26,-0.837251,-0.383344,0.155459
2,khiv27,0.134484,0.276485,2.42262
2,khiv28,-0.287083,-0.537291,0.542484
2,khiv29,1.54222,1.601,0.202651
2,khiv3,0.952817,1.99501,3.01036
2,khiv4,-0.578176,-1.80339,-1.73725
2,khiv5,0.274541,-0.791061,1.05771
2,khiv6,-1.60069,0.469262,2.88552
2,khiv7,-1.71879,0.716989,-2.52128
